uuid,type,city,street,date,severity
29514760,none,lo barnechea,valle del monasterio,2025-04-27 21:48:41,5
29294694,none,santiago,san francisco,2025-04-27 21:44:41,5
624502876,none,la cisterna,av. ossa,2025-04-18 05:39:12,5
28960880,none,la florida,rojas magallanes,2025-04-27 21:39:22,5
27156552,none,pudahuel,av. americo vespucio,2025-04-27 21:04:44,5
29089956,none,estacion central,corredor de buses,2025-04-27 21:42:01,5
29385866,none,la cisterna,carlos condell,2025-04-27 21:47:21,5
29579430,none,providencia,california,2025-04-27 21:50:00,5
29162546,none,el bosque,gran avenida jose miguel carrera,2025-04-27 21:42:02,5
29363206,none,puente alto,acceso a ruta 79,2025-04-27 21:46:02,5
29560854,none,las condes,av. cristobal colon,2025-04-27 21:50:02,5
224865684,none,"malloco, peñaflor",los aromos,2025-04-27 02:29:50,5
26415468,none,peñalolen,av. tobalaba,2025-04-27 20:50:08,5
131877570,none,"malloco, peñaflor",los aromos,2025-04-15 17:47:09,5
29427944,none,pudahuel,av. americo vespucio,2025-04-27 21:47:20,5
1693737394,none,conchali,av. independencia,2025-04-24 16:37:16,5
29348072,none,cerro navia,huelen,2025-04-27 21:46:00,5
98371774,none,providencia,av. vitacura > oriente,2025-04-01 05:59:43,5
29294798,none,buin,ruta 79,2025-04-27 21:44:42,5
27957286,none,quinta normal,av. carrascal,2025-04-27 21:20:41,5
1316537318,none,maipu,longitudinal,2025-04-22 12:43:02,5
28976250,none,la florida,corredor transporte publico vicuña mackenna,2025-04-27 21:39:23,5
1765101798,none,conchali,,2025-04-25 02:36:23,5
224759984,none,conchali,av. independencia,2025-04-27 02:28:30,5
573704940,none,maipu,longitudinal,2025-04-03 14:37:03,5
29499688,none,peñaflor,av. la paz,2025-04-27 21:48:40,5
29488442,none,santiago,zenteno,2025-04-27 21:48:39,5
22045102,none,san bernardo,san martin,2025-04-27 19:29:37,5
29461706,none,cerro navia,av. serrano,2025-04-27 21:48:39,5
29352098,none,san bernardo,abraham prado marin,2025-04-27 21:46:01,5
1205045020,none,conchali,av. independencia,2025-04-09 02:38:21,5
29294742,none,peñalolen,quebrada camarones,2025-04-27 21:44:41,5
29477100,none,san bernardo,diego de sevilla,2025-04-27 21:48:39,5
1640814734,none,pudahuel,av. san pablo,2025-03-29 06:57:46,5
1683653898,none,cerro navia,vicuña rozas,2025-04-24 15:49:29,5
29556886,none,estacion central,av. 5 de abril lateral,2025-04-27 21:50:01,5
28052720,none,maipu,av. lo espejo,2025-04-27 21:22:03,5
29457570,none,las condes,cardenal newman,2025-04-27 21:48:40,5
27833550,none,maipu,salida a americo vespucio sur > cerrillos,2025-04-27 21:18:01,5
29290702,none,san bernardo,av. carlos condell,2025-04-27 21:44:40,5
25120778,none,san jose de maipo,comercio,2025-04-27 20:25:02,5
153207978,none,conchali,av. independencia,2025-03-18 09:34:23,5
29457494,none,la florida,av. vicuña mackenna,2025-04-27 21:48:39,5
29522014,none,peñalolen,florencia,2025-04-27 21:50:01,5
28291082,none,puente alto,av. domingo tocornal,2025-04-27 21:26:02,5
29457532,none,"lo prado, curacavi",ruta g-76 / cuesta lo prado,2025-04-27 21:48:40,5
29022360,none,vitacura,el arcangel,2025-04-27 21:39:23,5
29560846,none,la florida,granaderos,2025-04-27 21:50:01,5
573704938,none,maipu,longitudinal,2025-04-03 14:37:03,5
29488406,none,ñuñoa,av. ossa,2025-04-27 21:48:39,5
573669952,none,maipu,longitudinal,2025-04-03 14:37:03,5
573704942,none,maipu,longitudinal,2025-04-03 14:37:03,5
29123930,none,huechuraba,av. americo vespucio,2025-04-27 21:42:02,5
29123926,none,las condes,av. francisco bilbao,2025-04-27 21:42:01,5
1262179150,none,maipu,longitudinal,2025-04-22 05:47:59,5
1159453164,none,conchali,av. independencia,2025-03-25 06:47:43,5
29234498,none,estacion central,oceanica,2025-04-27 21:43:21,5
29381950,none,ñuñoa,jorge washington,2025-04-27 21:47:21,5
131893158,none,"malloco, peñaflor",los aromos,2025-04-15 17:47:09,5
29423818,none,providencia,av. costanera andres bello,2025-04-27 21:47:20,5
29238438,none,recoleta,av. recoleta,2025-04-27 21:43:23,5
1262194208,none,pudahuel,puerto madero,2025-04-22 05:47:58,5
774072992,none,pudahuel,salida a vespucio norte express > la florida / 5 sur / maipu,2025-04-17 15:39:40,5
28836122,none,"nos, san bernardo",camino nos a los morros,2025-04-27 21:36:43,5
573560586,none,maipu,longitudinal,2025-04-03 14:37:03,5
29522154,none,talagante,jose leyan,2025-04-27 21:48:40,5
29477192,none,recoleta,pedro donoso,2025-04-27 21:48:40,5
29499624,none,maipu,av. manuel rodriguez,2025-04-27 21:48:39,5
29131916,none,peñalolen,mariano sanchez fontecilla,2025-04-27 21:42:03,5
27750552,none,maipu,camino casas viejas,2025-04-27 21:15:21,5
28775712,none,providencia,bucarest,2025-04-27 21:35:23,5
26152128,none,pedro aguirre cerda,,2025-04-27 20:44:50,5
224786484,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:27,5
1262014060,none,maipu,av. hugo bravo,2025-04-22 05:46:51,5
29139230,none,santiago,av. cardenal jose maria caro,2025-04-27 21:42:01,5
29279460,none,puente alto,av. concha y toro,2025-04-27 21:44:40,5
29109468,none,santiago,av. libertador bernardo o'higgins,2025-04-27 21:42:03,5
28915928,none,providencia,los araucanos,2025-04-27 21:38:02,5
29590894,none,providencia,los colonos,2025-04-27 21:50:01,5
1224250422,none,cerro navia,vicuña rozas,2025-03-27 02:38:48,5
29579428,none,pirque,camino carlos vial infante,2025-04-27 21:50:00,5
1781290818,none,providencia,,2025-01-14 10:16:05,5
29169928,none,el manzano,camino al volcan,2025-04-27 21:43:22,5
1262014028,none,conchali,av. independencia,2025-04-22 05:46:52,5
29423806,none,estacion central,las colinas,2025-04-27 21:47:20,5
29363274,none,la florida,santa amalia,2025-04-27 21:46:02,5
29564276,none,renca,fresia,2025-04-27 21:50:00,5
27277364,none,puente alto,av. concha y toro,2025-04-27 21:07:22,5
573685670,none,maipu,longitudinal,2025-04-03 14:37:03,5
224729342,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:27,5
29423884,none,peñalolen,antupiren,2025-04-27 21:47:21,5
98425980,none,pudahuel,acceso a autopista americo vespucio > ruta 68 / las condes,2025-04-01 05:59:43,5
620557650,none,maipu,av. hugo bravo,2025-04-18 04:02:39,5
27050022,none,quilicura,san luis,2025-04-27 21:03:24,5
1205036828,none,renca,olimpo,2025-04-09 02:38:19,5
1316996746,none,conchali,bartolome mandujano,2025-04-08 07:59:03,5
1819200932,none,pudahuel,puerto madero,2025-04-23 21:50:26,5
29131888,none,la granja,av. santa rosa,2025-04-27 21:42:03,5
29522192,none,maipu,pasaje mecanico torres,2025-04-27 21:48:41,5
